1,2,BUY,LIMIT,14971,25,1
2,3,BUY,LIMIT,15009,10,2
3,10,SELL,MARKET,0,10,3
4,4,BUY,LIMIT,14943,100,4
5,4,SELL,LIMIT,15035,50,5
6,1,BUY,LIMIT,14983,50,6
7,3,BUY,LIMIT,14983,10,7
8,2,SELL,MARKET,0,200,8
9,6,SELL,LIMIT,15053,75,9
10,9,BUY,LIMIT,14988,10,10
11,9,SELL,LIMIT,15039,200,11
12,6,BUY,LIMIT,14945,150,12
13,4,SELL,LIMIT,14989,200,13
14,2,SELL,LIMIT,15041,200,14
15,6,BUY,LIMIT,14966,150,15
16,5,BUY,LIMIT,14961,100,16
17,4,BUY,LIMIT,14974,150,17
18,9,BUY,LIMIT,15038,200,18
19,1,BUY,LIMIT,14980,75,19
20,5,BUY,LIMIT,15012,150,20
21,6,BUY,LIMIT,14990,150,21
22,8,BUY,LIMIT,14971,150,22
23,9,SELL,LIMIT,15014,100,23
24,7,SELL,LIMIT,14977,100,24
25,8,BUY,LIMIT,14954,25,25
26,3,SELL,LIMIT,15009,75,26
27,10,SELL,LIMIT,15030,200,27
28,1,BUY,LIMIT,15008,200,28
29,5,SELL,MARKET,0,75,29
30,3,SELL,MARKET,0,150,30
31,5,BUY,LIMIT,14953,200,31
32,5,BUY,LIMIT,15037,25,32
33,9,BUY,LIMIT,15002,10,33
34,2,SELL,LIMIT,14999,25,34
35,1,BUY,LIMIT,14950,10,35
36,8,BUY,LIMIT,15008,200,36
37,3,BUY,LIMIT,15010,25,37
38,5,SELL,LIMIT,15029,200,38
39,4,SELL,LIMIT,15045,150,39
40,6,SELL,LIMIT,15017,10,40
41,4,BUY,MARKET,0,10,41
42,10,BUY,LIMIT,14940,10,42
43,1,BUY,MARKET,0,10,43
44,6,BUY,LIMIT,14975,150,44
45,8,BUY,LIMIT,15032,100,45
46,10,SELL,LIMIT,15020,200,46
47,7,BUY,MARKET,0,150,47
48,7,SELL,LIMIT,15019,200,48
49,1,BUY,MARKET,0,150,49
50,6,BUY,LIMIT,14964,100,50
51,8,BUY,LIMIT,14975,75,51
52,4,BUY,LIMIT,15010,10,52
53,1,BUY,LIMIT,15036,200,53
54,4,BUY,LIMIT,15001,25,54
55,7,BUY,LIMIT,14940,75,55
56,5,SELL,LIMIT,15049,150,56
57,9,SELL,LIMIT,14997,25,57
58,1,BUY,LIMIT,14947,10,58
59,10,SELL,LIMIT,15027,25,59
60,1,BUY,LIMIT,14948,100,60
61,2,BUY,LIMIT,15012,25,61
62,10,BUY,LIMIT,14993,150,62
63,10,SELL,LIMIT,14986,150,63
64,6,BUY,LIMIT,14956,150,64
65,5,SELL,LIMIT,15056,10,65
66,1,SELL,LIMIT,15032,10,66
67,2,BUY,LIMIT,14956,50,67
68,2,BUY,LIMIT,14960,75,68
69,9,SELL,LIMIT,15043,100,69
70,1,SELL,LIMIT,14973,25,70
71,5,BUY,LIMIT,15035,100,71
72,3,SELL,LIMIT,14986,150,72
73,6,BUY,LIMIT,14973,100,73
74,8,SELL,LIMIT,14966,10,74
75,7,SELL,MARKET,0,50,75
76,3,SELL,LIMIT,15016,100,76
77,7,BUY,MARKET,0,150,77
78,3,BUY,LIMIT,15014,100,78
79,3,SELL,LIMIT,14999,50,79
80,1,SELL,LIMIT,14991,150,80
81,2,SELL,LIMIT,15012,100,81
82,3,BUY,LIMIT,14962,75,82
83,1,BUY,LIMIT,14982,200,83
84,7,BUY,LIMIT,15040,150,84
85,2,SELL,LIMIT,15020,25,85
86,4,SELL,LIMIT,14989,25,86
87,1,BUY,LIMIT,14975,200,87
88,2,SELL,LIMIT,15025,75,88
89,9,SELL,LIMIT,14974,50,89
90,3,SELL,MARKET,0,100,90
91,7,SELL,LIMIT,15000,75,91
92,10,BUY,LIMIT,15013,25,92
93,5,BUY,LIMIT,14940,100,93
94,9,BUY,LIMIT,14948,150,94
95,6,SELL,LIMIT,14975,150,95
96,5,SELL,LIMIT,15001,75,96
97,5,BUY,LIMIT,15025,75,97
98,3,SELL,LIMIT,14960,50,98
99,5,BUY,LIMIT,15014,100,99
100,6,SELL,LIMIT,15046,25,100
